datetime,NO2,PM10,PM25,M_T,M_SPED,M_DIR
2019-01-01 01:00:00,,28.6,20.8,5.8,3.8,274.0
2019-01-01 02:00:00,,13.7,9.8,5.6,3.9,288.7
2019-01-01 03:00:00,,12.4,7.1,5.4,3.9,290.4
2019-01-01 04:00:00,,15.4,11.4,5.0,3.2,303.9
2019-01-01 05:00:00,,12.6,7.1,4.5,1.7,317.5
2019-01-01 06:00:00,,9.9,6.3,3.3,0.2,255.7
2019-01-01 07:00:00,,10.7,6.7,4.2,1.1,269.7
2019-01-01 08:00:00,,12.3,4.0,5.4,2.0,292.0
2019-01-01 09:00:00,,10.0,7.1,5.8,2.1,293.3
2019-01-01 10:00:00,,11.4,6.6,6.2,2.3,304.7
2019-01-01 11:00:00,,14.8,5.3,6.6,2.4,296.0
2019-01-01 12:00:00,,11.3,7.9,7.2,3.0,293.0
2019-01-01 13:00:00,,10.8,5.2,7.7,3.1,286.3
2019-01-01 14:00:00,,13.5,8.0,8.1,3.6,272.9
2019-01-01 15:00:00,,16.6,13.2,8.2,3.5,273.1
2019-01-01 16:00:00,,18.2,11.2,8.2,2.9,272.8
2019-01-01 17:00:00,,14.4,10.7,8.1,1.6,269.9
2019-01-01 18:00:00,,21.8,17.1,7.7,1.3,325.9
2019-01-01 19:00:00,,12.4,10.4,7.6,2.4,36.8
2019-01-01 20:00:00,,14.0,8.1,6.4,3.6,44.7
2019-01-01 21:00:00,,16.0,6.3,5.1,3.5,44.4
2019-01-01 22:00:00,,16.6,7.2,4.8,4.4,52.2
2019-01-01 23:00:00,,21.1,9.3,4.4,4.7,61.2
2019-01-02 00:00:00,,18.4,8.2,3.6,5.0,59.8
2019-01-02 01:00:00,,15.5,8.4,3.7,4.2,71.0
2019-01-02 02:00:00,,5.2,8.8,3.5,4.4,75.1
2019-01-02 03:00:00,,12.6,5.5,3.2,4.5,72.3
2019-01-02 04:00:00,,15.9,9.1,2.9,4.1,71.0
2019-01-02 05:00:00,,13.3,9.7,2.4,4.0,63.1
2019-01-02 06:00:00,,14.1,8.7,2.0,4.2,56.9
2019-01-02 07:00:00,,15.4,9.0,1.6,3.9,54.5
2019-01-02 08:00:00,,20.6,8.2,1.3,3.5,59.0
2019-01-02 09:00:00,,22.3,11.9,1.1,3.6,60.6
2019-01-02 10:00:00,,26.7,11.9,1.3,3.4,59.9
2019-01-02 11:00:00,,22.9,15.7,2.0,3.5,66.0
2019-01-02 12:00:00,,28.5,14.2,2.6,3.5,67.2
2019-01-02 13:00:00,,25.7,14.9,3.0,3.3,68.6
2019-01-02 14:00:00,,23.2,12.2,3.0,3.4,71.8
2019-01-02 15:00:00,,30.5,12.7,2.7,3.2,70.1
2019-01-02 16:00:00,,33.0,6.9,2.0,3.1,64.0
2019-01-02 17:00:00,,20.8,8.8,1.5,3.1,57.5
2019-01-02 18:00:00,,18.9,9.1,1.3,3.4,56.4
2019-01-02 19:00:00,,19.0,9.2,1.2,3.4,59.2
2019-01-02 20:00:00,,21.2,13.6,1.1,3.4,61.7
2019-01-02 21:00:00,,19.7,14.0,1.1,3.5,62.2
2019-01-02 22:00:00,,18.3,9.7,2.0,3.6,64.4
2019-01-02 23:00:00,,20.9,12.6,2.4,3.5,69.5
2019-01-03 00:00:00,,17.0,11.9,2.5,3.2,74.8
2019-01-03 01:00:00,,18.2,12.6,-0.1,1.5,91.4
