datetime,NO2,PM10,PM25,M_T,M_SPED,M_DIR
2019-01-01 01:00:00,15.94817,,10.3,9.0,5.0,294.5
2019-01-01 02:00:00,12.0789,,5.5,9.0,5.8,296.6
2019-01-01 03:00:00,15.47193,,3.3,9.2,6.1,303.3
2019-01-01 04:00:00,16.23778,,2.0,9.3,5.9,304.2
2019-01-01 05:00:00,12.73294,,-0.2,9.6,5.3,306.7
2019-01-01 06:00:00,9.00907,,-1.5,9.8,5.1,308.8
2019-01-01 07:00:00,8.19498,,3.5,9.5,4.2,317.9
2019-01-01 08:00:00,7.73755,,-1.7,7.4,3.1,326.1
2019-01-01 09:00:00,7.07394,,-0.3,6.4,3.6,324.7
2019-01-01 10:00:00,10.5352,,-1.1,6.3,4.0,329.4
2019-01-01 11:00:00,9.21469,,0.6,6.6,4.3,340.8
2019-01-01 12:00:00,10.28786,,0.1,6.8,4.1,348.5
2019-01-01 13:00:00,12.32505,,-2.0,6.8,3.9,350.3
2019-01-01 14:00:00,14.76716,,-0.8,6.4,3.4,352.4
2019-01-01 15:00:00,19.95793,,3.8,5.4,2.4,341.8
2019-01-01 16:00:00,27.99683,,4.6,3.8,2.4,328.2
2019-01-01 17:00:00,32.6296,,0.7,3.0,2.5,331.5
2019-01-01 18:00:00,27.84764,,2.5,2.2,2.5,330.2
2019-01-01 19:00:00,17.71567,,0.8,1.4,2.3,338.6
2019-01-01 20:00:00,24.02097,,-1.8,1.0,2.5,349.0
2019-01-01 21:00:00,20.46285,,-0.9,0.8,2.7,357.3
2019-01-01 22:00:00,19.48971,,,0.6,2.6,356.2
2019-01-01 23:00:00,16.99285,,0.3,0.2,2.4,346.9
2019-01-02 00:00:00,13.94115,,-0.6,0.1,2.6,352.0
2019-01-02 01:00:00,11.59436,,4.0,-0.2,2.1,309.9
2019-01-02 02:00:00,9.21976,,3.5,-0.5,2.3,320.5
2019-01-02 03:00:00,7.37319,,0.2,-0.8,2.2,330.0
2019-01-02 04:00:00,6.81374,,2.7,-1.2,2.4,318.2
2019-01-02 05:00:00,9.71207,,1.9,-1.4,2.2,313.9
2019-01-02 06:00:00,14.6982,,2.4,-1.5,2.3,322.5
2019-01-02 07:00:00,24.06322,,1.5,-1.6,2.2,328.8
2019-01-02 08:00:00,33.58923,,1.0,-1.6,2.3,332.7
2019-01-02 09:00:00,39.0326,,0.5,-1.6,2.4,334.4
2019-01-02 10:00:00,36.23894,,1.2,-0.6,2.5,344.5
2019-01-02 11:00:00,30.86459,,1.2,1.0,2.8,352.2
2019-01-02 12:00:00,26.72126,,1.8,2.1,2.8,355.1
2019-01-02 13:00:00,27.38407,,2.1,2.8,2.9,358.9
2019-01-02 14:00:00,,,2.5,2.9,2.5,1.4
2019-01-02 15:00:00,,,2.9,2.0,1.9,2.6
2019-01-02 16:00:00,41.11452,,3.6,0.5,2.0,353.8
2019-01-02 17:00:00,44.67509,,4.1,-0.5,1.9,335.8
2019-01-02 18:00:00,60.20203,,4.0,-1.1,2.1,314.8
2019-01-02 19:00:00,61.32093,,5.0,-1.5,2.1,316.1
2019-01-02 20:00:00,62.78386,,9.7,-1.9,2.1,324.8
2019-01-02 21:00:00,57.96688,,7.5,-2.4,2.0,317.6
2019-01-02 22:00:00,37.79158,,1.4,-2.7,1.8,308.1
2019-01-02 23:00:00,19.0714,,1.5,-3.0,1.6,299.5
2019-01-03 00:00:00,33.616,,9.5,-3.3,1.6,293.1
2019-01-03 01:00:00,23.91714,,11.8,-2.0,1.0,318.0
2019-01-03 02:00:00,25.13408,,12.1,-2.6,1.5,303.3
2019-01-03 03:00:00,30.53407,,14.4,-3.1,1.6,296.5
2019-01-03 04:00:00,33.07487,,14.3,-3.5,1.6,284.7
2019-01-03 05:00:00,28.50459,,11.0,-3.8,1.7,297.3
