Diffusion Tube ID,X OS Grid Ref (Easting),Y OS Grid Ref (Northing),Site Type,Valid Data Capture for Monitoring Period (%),Valid Data Capture 2024 (%),2020,2021,2022,2023,2024
2,358628,173011,Roadside,84.9,84.9,36.9,40.1,40.3,39.0,38.4
3,357448,174650,Roadside,100.0,100.0,28.7,44.4,38.8,47.7,29.0
4,359903,171850,Roadside,100.0,100.0,36.8,38.9,38.4,29.3,30.7
5,358723,171704,Roadside,100.0,100.0,31.6,41.0,37.9,33.5,34.9
9,358729,173499,Roadside,17.0,0.0,31.7,39.3,36.0,27.8,-
10,361217,171429,Roadside,100.0,100.0,33.6,36.8,35.9,30.7,30.3
11,358813,173342,Roadside,100.0,100.0,31.1,35.0,35.3,29.6,29.4
12,359142,173211,Roadside,100.0,92.5,41.9,46.5,50.2,60.2,35.3
14,360877,170280,Roadside,100.0,100.0,32.4,32.7,30.3,27.0,25.8
15,359294,173485,Roadside,100.0,100.0,28.2,31.5,31.3,26.4,25.9
16,352287,178698,Roadside,100.0,100.0,23.2,24.9,25.8,21.5,21.5
21,359035,175306,Roadside,100.0,100.0,33.4,34.9,34.0,30.9,33.0
22,359109,173886,Roadside,75.0,75.0,34.3,37.5,36.7,35.9,34.4
113,359258,172696,Roadside,90.6,83.0,29.9,27.8,32.0,29.4,28.3
125,359214,171917,Roadside,100.0,100.0,35.6,35.8,33.6,24.3,19.7
147,358514,172691,Roadside,100.0,100.0,39.4,43.3,45.5,39.5,36.3
154,357601,172483,Roadside,100.0,100.0,22.1,25.4,26.1,17.8,17.5
155,357838,172713,Roadside,100.0,100.0,22.9,25.5,24.2,17.5,15.2
156,357709,173018,Roadside,100.0,100.0,20.7,24.9,25.9,19.1,17.7
157,359119,174090,Roadside,100.0,100.0,35.7,40.3,35.0,35.2,33.7
159,358891,174608,Roadside,100.0,100.0,28.5,31.9,32.1,28.9,28.2
161,359152,175733,Roadside,92.5,92.5,25.3,27.4,26.0,25.6,26.5
163,359435,176574,Roadside,100.0,100.0,24.5,27.4,27.2,27.2,25.7
175,362147,170525,Roadside,100.0,100.0,36.4,41.4,38.7,30.4,30.3
239,357880,170506,Kerbside,100.0,100.0,47.6,51.4,48.6,40.5,38.1
242,357510,170401,Kerbside,92.5,92.5,32.2,34.5,36.6,29.8,28.0
254,357118,172429,Kerbside,100.0,90.6,31.1,34.6,33.0,24.7,23.9
260,361140,175366,Roadside,100.0,100.0,29.5,33.2,31.6,26.5,26.0
261,361103,175059,Roadside,100.0,100.0,34.7,39.1,39.3,32.0,33.0
295,359913,174315,Roadside,100.0,100.0,37.2,44.5,41.0,34.0,34.8
300,363365,175883,Roadside,100.0,100.0,28.9,28.7,27.5,21.2,26.4
303,361368,175170,Roadside,100.0,100.0,29.2,31.8,31.2,24.1,23.3
307,360747,175328,Roadside,100.0,100.0,24.6,27.5,26.8,24.5,21.6
312,359832,174616,Roadside,100.0,100.0,26.2,29.5,29.8,24.8,23.5
"320_1,320_2,320_3",361180,171567,Urbanbackground,100.0,100.0,19.3,20.8,20.6,17.7,17.0
325,361667,175103,Roadside,100.0,100.0,34.1,37.3,32.6,29.4,27.6
363,359075,173613,Roadside,92.5,92.5,23.5,26.8,28.0,23.8,23.9
370,359775,173513,Roadside,90.6,90.6,,25.0,31.0,25.3,21.2
373,359747,173774,Roadside,92.5,92.5,23.9,27.9,27.4,22.3,21.5
374,359509,173595,Roadside,100.0,100.0,29.9,35.0,33.7,27.1,25.1
403,360508,171676,Roadside,100.0,100.0,23.4,25.5,25.5,20.2,20.6
405,361051,173743,Roadside,100.0,100.0,38.7,40.4,38.0,33.5,33.6
406,361576,173806,Roadside,100.0,100.0,26.6,29.3,29.6,24.2,23.2
413,360043,171508,Roadside,100.0,100.0,25.5,27.4,27.2,23.5,22.5
417,359635,171413,Roadside,100.0,100.0,26.3,27.9,27.0,22.7,20.9
418,357737,170642,Roadside,100.0,100.0,40.2,45.9,44.1,32.8,31.7
419,357832,170686,Kerbside,100.0,100.0,31.4,34.3,33.6,29.4,28.5
420,358277,171562,Roadside,83.0,83.0,23.2,25.6,28.8,23.7,22.3
423,358623,173386,Roadside,100.0,100.0,27.3,29.5,29.1,22.2,20.9
429,360484,174097,Roadside,100.0,100.0,38.8,36.4,35.5,38.0,35.3
436,361013,173352,Roadside,90.6,90.6,29.2,31.2,30.6,24.4,26.2
"438_1,438_2,438_3",360903,170024,Kerbside,100.0,100.0,27.1,29.0,29.4,25.0,23.2
"439_1,439_2,439_3",358042,170582,Roadside,100.0,100.0,25.4,28.6,27.2,24.0,22.4
"455_1,455_2,455_3",359487,173924,Urbanbackground,100.0,100.0,15.9,16.4,16.7,14.3,13.8
"464_1,464_2,464_3",362927,175592,Roadside,100.0,100.0,24.2,23.7,24.0,20.8,20.8
470,359213,170997,Roadside,100.0,100.0,25.1,26.8,28.3,24.2,21.7
472,358226,171284,Roadside,92.5,92.5,26.2,28.7,29.0,25.8,25.7
473,358105,171124,Roadside,90.6,90.6,40.0,28.4,28.4,26.1,25.7
487,360243,174327,Roadside,92.5,92.5,27.7,29.6,36.8,27.8,24.1
492,359445,176627,Roadside,100.0,100.0,25.2,26.4,27.5,25.6,23.7
493,359677,176758,Roadside,100.0,100.0,29.5,31.8,31.2,27.4,25.8
494,359558,176850,Kerbside,100.0,100.0,25.1,25.0,26.4,22.5,21.6
496,362296,173620,Roadside,100.0,100.0,25.0,25.9,26.7,22.9,20.2
497,359268,174132,Roadside,100.0,100.0,24.6,27.1,24.7,24.8,22.5
"499_1,499_2,499_3",359522,173381,Roadside,90.6,90.6,26.0,31.1,30.9,26.2,23.9
"502_1,502_2,502_3",358640,173090,Roadside,90.6,90.6,52.1,58.0,54.1,48.9,50.8
512,359026,174432,Roadside,75.0,75.0,30.7,36.1,36.2,37.3,36.6
525,362455,173687,Roadside,100.0,100.0,24.1,28.5,29.8,24.8,23.2
538,358681,171478,Roadside,17.0,17.0,20.4,22.5,21.3,19.5,-
539,358599,171391,Roadside,75.0,75.0,27.4,30.9,23.8,26.6,22.2
545,356379,171436,Roadside,100.0,100.0,22.0,24.3,23.3,17.2,16.3
550,358353,172613,Roadside,66.0,66.0,21.1,29.1,29.4,24.7,21.9
555,356679,172589,Roadside,100.0,100.0,26.5,28.0,28.0,19.3,17.8
556,356827,172303,Roadside,100.0,100.0,31.7,35.0,31.8,23.9,20.8
559,356485,171580,Roadside,100.0,90.6,19.8,24.5,24.2,20.4,20.0
"560_1,560_2",358665,173439,Roadside,92.5,92.5,30.2,32.2,31.5,25.6,20.5
