datetime,NO2,PM10,PM25,M_T,M_SPED,M_DIR
2019-01-01 01:00:00,,19.324,12.0,7.7,2.6,278.7
2019-01-01 02:00:00,6.02387,12.561,7.0,8.9,4.6,289.4
2019-01-01 03:00:00,5.78858,23.189,4.0,9.3,3.4,296.9
2019-01-01 04:00:00,3.67125,22.223,4.0,9.7,3.9,308.5
2019-01-01 05:00:00,4.28307,15.459,9.0,9.8,3.3,300.6
2019-01-01 06:00:00,4.98896,13.527,8.0,9.9,3.5,308.6
2019-01-01 07:00:00,4.9893,20.29,5.0,9.9,3.6,308.2
2019-01-01 08:00:00,7.62369,15.459,5.0,10.0,3.6,313.0
2019-01-01 09:00:00,8.42468,16.425,4.0,9.9,3.4,328.2
2019-01-01 10:00:00,4.80253,10.628,2.0,8.6,3.1,347.7
2019-01-01 11:00:00,6.87592,9.662,1.0,8.4,3.1,348.4
2019-01-01 12:00:00,4.34249,17.392,5.0,8.3,3.5,354.8
2019-01-01 13:00:00,4.38574,18.358,6.0,8.0,3.4,350.3
2019-01-01 14:00:00,5.61144,17.392,,7.5,2.9,353.4
2019-01-01 15:00:00,6.1309,15.459,1.0,6.5,2.0,358.4
2019-01-01 16:00:00,12.43722,13.527,4.0,4.6,1.7,1.2
2019-01-01 17:00:00,21.37724,29.952,5.0,3.4,1.9,16.7
2019-01-01 18:00:00,22.27162,19.324,5.0,2.7,2.2,15.3
2019-01-01 19:00:00,26.74731,23.189,8.0,2.2,2.2,22.5
2019-01-01 20:00:00,42.23854,27.054,12.0,1.6,2.2,30.7
2019-01-01 21:00:00,41.6287,16.425,10.0,1.1,2.0,32.1
2019-01-01 22:00:00,31.50211,19.324,8.0,0.5,1.7,23.0
2019-01-01 23:00:00,24.05935,16.425,6.0,0.5,1.7,25.9
2019-01-02 00:00:00,25.28539,18.358,4.0,-0.6,0.5,315.8
2019-01-02 01:00:00,27.89084,5.797,5.0,1.1,0.1,13.6
2019-01-02 02:00:00,43.4442,12.561,5.0,0.6,1.1,329.1
2019-01-02 03:00:00,37.17202,14.493,6.0,-0.2,1.8,12.6
2019-01-02 04:00:00,33.63415,16.425,5.0,-0.7,1.7,19.3
2019-01-02 05:00:00,48.80607,12.561,6.0,-1.1,1.9,34.7
2019-01-02 06:00:00,63.70725,16.425,4.0,-1.5,1.3,41.6
2019-01-02 07:00:00,60.55129,14.493,3.0,-2.6,0.0,297.7
2019-01-02 08:00:00,70.91707,19.324,7.0,-2.5,0.9,233.6
2019-01-02 09:00:00,88.4551,34.783,8.0,-2.7,1.4,237.3
2019-01-02 10:00:00,89.53682,30.918,14.0,-2.1,1.2,235.4
2019-01-02 11:00:00,68.56175,31.885,15.0,-0.3,0.7,229.1
2019-01-02 12:00:00,50.9893,32.851,18.0,1.1,0.6,223.6
2019-01-02 13:00:00,,,,1.7,0.6,215.6
2019-01-02 14:00:00,71.77152,,,1.9,0.8,220.1
2019-01-02 15:00:00,67.76412,,25.0,1.2,0.8,234.6
2019-01-02 16:00:00,64.80894,25.121,19.0,-0.7,0.1,229.3
2019-01-02 17:00:00,46.52636,19.324,11.0,-1.6,0.0,120.3
2019-01-02 18:00:00,39.97248,21.256,10.0,-1.8,0.3,95.6
2019-01-02 19:00:00,41.12744,23.189,17.0,-1.9,1.2,98.9
2019-01-02 20:00:00,43.22605,19.324,13.0,-2.4,1.4,113.1
2019-01-02 21:00:00,47.00957,27.054,16.0,-2.8,1.5,133.5
2019-01-02 22:00:00,53.63563,25.121,19.0,-3.1,1.5,144.4
2019-01-02 23:00:00,33.8316,28.02,20.0,-3.3,1.3,150.3
2019-01-03 00:00:00,35.06473,31.885,,-3.4,1.4,150.4
2019-01-03 01:00:00,25.834,28.02,,-0.4,1.7,168.0
2019-01-03 02:00:00,16.11491,27.054,,-1.3,1.3,160.3
2019-01-03 03:00:00,8.23085,19.324,,-2.0,1.2,164.1
2019-01-03 04:00:00,7.43068,20.29,,-2.4,1.5,131.9
2019-01-03 05:00:00,6.63155,16.425,,-2.8,1.9,118.8
2019-01-03 06:00:00,9.17101,25.121,,-3.0,1.9,109.5
2019-01-03 07:00:00,12.51201,24.155,,-3.3,1.9,121.6
2019-01-03 08:00:00,15.05318,25.121,,-3.6,1.9,119.5
