datetime,NO2,PM10,PM25,M_T,M_SPED,M_DIR
2019-01-01 01:00:00,12.90039,26.0,20.4,5.0,3.0,274.6
2019-01-01 02:00:00,17.76195,15.6,11.4,4.7,3.2,273.8
2019-01-01 03:00:00,16.16169,19.7,12.8,5.1,4.0,295.7
2019-01-01 04:00:00,15.76853,17.2,13.8,4.9,3.6,308.7
2019-01-01 05:00:00,15.12059,14.6,13.0,4.2,3.0,316.9
2019-01-01 06:00:00,18.37068,17.9,12.8,5.1,3.2,319.2
2019-01-01 07:00:00,37.38651,13.3,13.2,5.5,3.7,321.3
2019-01-01 08:00:00,41.74267,14.9,9.3,6.1,3.8,311.1
2019-01-01 09:00:00,48.47354,19.2,16.5,6.6,3.8,305.1
2019-01-01 10:00:00,49.54057,19.6,16.5,7.0,4.3,303.0
2019-01-01 11:00:00,37.53073,16.7,12.6,7.3,4.4,297.0
2019-01-01 12:00:00,12.82904,9.0,7.2,7.7,4.1,295.2
2019-01-01 13:00:00,16.65382,10.8,9.1,7.9,3.8,293.5
2019-01-01 14:00:00,13.80636,5.4,6.1,8.0,3.2,285.4
2019-01-01 15:00:00,15.65581,9.0,8.7,8.2,2.9,285.7
2019-01-01 16:00:00,20.00092,11.7,10.0,8.4,2.8,330.7
2019-01-01 17:00:00,24.19663,13.9,11.5,8.4,3.9,6.6
2019-01-01 18:00:00,34.34184,18.8,15.6,8.0,4.2,16.8
2019-01-01 19:00:00,12.35137,12.6,8.5,6.3,2.9,29.4
2019-01-01 20:00:00,9.05364,16.6,9.0,4.9,1.9,36.6
2019-01-01 21:00:00,24.04983,18.1,10.4,3.9,2.6,40.0
2019-01-01 22:00:00,47.08978,17.2,9.4,3.3,3.3,55.6
2019-01-01 23:00:00,30.44419,18.0,11.4,2.9,3.3,54.7
2019-01-02 00:00:00,29.28387,15.4,11.6,2.1,3.4,50.9
2019-01-02 01:00:00,19.40814,11.9,10.3,2.3,2.9,63.6
2019-01-02 02:00:00,17.1602,9.2,6.8,1.7,3.1,74.1
2019-01-02 03:00:00,17.3621,8.1,4.3,1.4,3.2,69.2
2019-01-02 04:00:00,20.1681,8.3,7.3,1.1,3.3,74.6
2019-01-02 05:00:00,35.57597,11.6,6.3,0.6,2.9,72.1
2019-01-02 06:00:00,47.32248,12.2,7.1,0.2,2.7,69.0
2019-01-02 07:00:00,46.66364,15.6,11.8,-0.3,2.3,70.1
2019-01-02 08:00:00,48.04801,16.1,10.9,-0.7,2.0,69.7
2019-01-02 09:00:00,55.9462,20.7,14.8,-0.9,1.6,64.3
2019-01-02 10:00:00,63.52439,22.7,16.0,-0.6,1.4,63.7
2019-01-02 11:00:00,60.82919,24.9,17.5,0.4,1.9,58.1
2019-01-02 12:00:00,60.81188,25.9,18.1,1.0,1.5,63.7
2019-01-02 13:00:00,50.38207,22.1,15.3,1.4,1.2,56.6
2019-01-02 14:00:00,42.91637,20.1,13.0,1.7,1.1,40.4
2019-01-02 15:00:00,33.43719,13.9,10.0,1.5,1.0,9.3
2019-01-02 16:00:00,26.73461,12.8,6.9,0.9,1.2,14.9
2019-01-02 17:00:00,30.15876,15.4,9.2,0.5,1.5,45.5
2019-01-02 18:00:00,37.37041,15.7,12.3,0.0,1.9,64.9
2019-01-02 19:00:00,35.31673,17.7,14.3,-0.4,2.1,69.1
2019-01-02 20:00:00,28.81528,13.6,9.1,-0.7,2.1,73.4
2019-01-02 21:00:00,13.80379,13.4,9.2,-0.9,2.3,83.7
2019-01-02 22:00:00,10.75647,11.4,7.9,-1.1,2.2,96.2
2019-01-02 23:00:00,19.73701,14.5,10.1,-1.3,1.9,110.7
2019-01-03 00:00:00,11.44643,15.0,13.1,-1.5,1.9,119.6
