datetime,NO2,PM10,PM25,M_T,M_SPED,M_DIR
2019-01-01 01:00:00,18.12621,23.189,,5.0,3.0,274.6
2019-01-01 02:00:00,18.17009,14.493,,4.7,3.2,273.8
2019-01-01 03:00:00,21.87464,17.392,,5.1,4.0,295.7
2019-01-01 04:00:00,21.68472,15.459,,4.9,3.6,308.7
2019-01-01 05:00:00,20.08612,15.459,,4.2,3.0,316.9
2019-01-01 06:00:00,18.0605,15.459,,5.1,3.2,319.2
2019-01-01 07:00:00,28.33515,13.527,,5.5,3.7,321.3
2019-01-01 08:00:00,29.95269,16.425,,6.1,3.8,311.1
2019-01-01 09:00:00,49.98589,17.392,,6.6,3.8,305.1
2019-01-01 10:00:00,63.61807,22.223,,7.0,4.3,303.0
2019-01-01 11:00:00,31.97329,19.324,,7.3,4.4,297.0
2019-01-01 12:00:00,26.89352,15.459,,7.7,4.1,295.2
2019-01-01 13:00:00,24.20057,10.628,,7.9,3.8,293.5
2019-01-01 14:00:00,22.88986,9.662,,8.0,3.2,285.4
2019-01-01 15:00:00,31.54848,12.561,,8.2,2.9,285.7
2019-01-01 16:00:00,29.31972,11.594,,8.4,2.8,330.7
2019-01-01 17:00:00,38.6653,18.358,,8.4,3.9,6.6
2019-01-01 18:00:00,49.80641,20.29,,8.0,4.2,16.8
2019-01-01 19:00:00,44.11048,26.087,,6.3,2.9,29.4
2019-01-01 20:00:00,44.34338,37.682,,4.9,1.9,36.6
2019-01-01 21:00:00,53.8914,32.851,,3.9,2.6,40.0
2019-01-01 22:00:00,63.57215,36.716,,3.3,3.3,55.6
2019-01-01 23:00:00,50.9281,35.749,,2.9,3.3,54.7
2019-01-02 00:00:00,41.095,25.121,,2.1,3.4,50.9
2019-01-02 01:00:00,39.08018,17.392,,2.3,2.9,63.6
2019-01-02 02:00:00,26.23573,16.425,,1.7,3.1,74.1
2019-01-02 03:00:00,26.79464,20.29,,1.4,3.2,69.2
2019-01-02 04:00:00,24.82125,16.425,,1.1,3.3,74.6
2019-01-02 05:00:00,42.95457,17.392,,0.6,2.9,72.1
2019-01-02 06:00:00,60.46982,23.189,,0.2,2.7,69.0
2019-01-02 07:00:00,66.42199,24.155,,-0.3,2.3,70.1
2019-01-02 08:00:00,80.03892,30.918,,-0.7,2.0,69.7
2019-01-02 09:00:00,70.55516,25.121,,-0.9,1.6,64.3
2019-01-02 10:00:00,87.66146,30.918,,-0.6,1.4,63.7
2019-01-02 11:00:00,110.22658,40.58,,0.4,1.9,58.1
2019-01-02 12:00:00,94.12609,51.209,,1.0,1.5,63.7
2019-01-02 13:00:00,76.66938,48.31,,1.4,1.2,56.6
2019-01-02 14:00:00,92.77185,45.411,,1.7,1.1,40.4
2019-01-02 15:00:00,95.95051,39.614,,1.5,1.0,9.3
2019-01-02 16:00:00,98.44023,36.716,,0.9,1.2,14.9
2019-01-02 17:00:00,91.64193,29.952,,0.5,1.5,45.5
2019-01-02 18:00:00,101.19264,26.087,,0.0,1.9,64.9
2019-01-02 19:00:00,71.62275,24.155,,-0.4,2.1,69.1
2019-01-02 20:00:00,52.52835,20.29,,-0.7,2.1,73.4
2019-01-02 21:00:00,49.43318,21.256,,-0.9,2.3,83.7
2019-01-02 22:00:00,22.79967,21.256,,-1.1,2.2,96.2
2019-01-02 23:00:00,23.41174,12.561,,-1.3,1.9,110.7
2019-01-03 00:00:00,24.25021,23.189,,-1.5,1.9,119.6
2019-01-03 01:00:00,13.41473,23.189,,-0.9,1.3,100.9
2019-01-03 02:00:00,23.98683,26.087,,-1.4,1.4,124.0
2019-01-03 03:00:00,20.53857,19.324,,-1.9,1.8,141.7
2019-01-03 04:00:00,17.41502,14.493,,-2.2,2.1,139.6
2019-01-03 05:00:00,15.64887,13.527,,-2.5,1.9,131.3
2019-01-03 06:00:00,32.60451,21.256,,-2.7,1.9,134.5
2019-01-03 07:00:00,49.1159,20.29,,-2.9,1.9,135.8
2019-01-03 08:00:00,48.97702,21.256,,-3.0,1.7,138.1
2019-01-03 09:00:00,,,,-3.1,1.9,133.8
2019-01-03 10:00:00,,,,-2.3,1.9,131.1
2019-01-03 11:00:00,,,,-1.3,2.0,132.1
2019-01-03 12:00:00,32.83777,,,-0.5,1.8,129.7
2019-01-03 13:00:00,46.44996,,,0.1,1.3,128.2
2019-01-03 14:00:00,67.41301,,,0.4,1.2,121.1
2019-01-03 15:00:00,75.65068,,,0.2,0.9,126.3
2019-01-03 16:00:00,81.01704,,,-0.6,0.6,110.0
2019-01-03 17:00:00,59.85556,,,-1.0,1.0,88.5
