Diffusion Tube ID,X OS Grid Ref (Easting),Y OS Grid Ref (Northing),Site Type,NO2_Before,NO2_After,Percentage Change (%)
2,358628.0,173011.0,Roadside,40.3,38.7,-3.9702233250620207
3,357448.0,174650.0,Roadside,38.8,38.35,-1.159793814432979
4,359903.0,171850.0,Roadside,38.4,30.0,-21.874999999999996
5,358723.0,171704.0,Roadside,37.9,34.2,-9.762532981530333
10,361217.0,171429.0,Roadside,35.9,30.5,-15.041782729805012
11,358813.0,173342.0,Roadside,35.3,29.5,-16.43059490084985
12,359142.0,173211.0,Roadside,50.2,47.75,-4.880478087649408
14,360877.0,170280.0,Roadside,30.3,26.4,-12.871287128712877
15,359294.0,173485.0,Roadside,31.3,26.15,-16.453674121405758
16,352287.0,178698.0,Roadside,25.8,21.5,-16.666666666666668
21,359035.0,175306.0,Roadside,34.0,31.95,-6.029411764705885
22,359109.0,173886.0,Roadside,36.7,35.15,-4.223433242506823
113,359258.0,172696.0,Roadside,32.0,28.85,-9.843749999999996
125,359214.0,171917.0,Roadside,33.6,22.0,-34.523809523809526
147,358514.0,172691.0,Roadside,45.5,37.9,-16.703296703296708
154,357601.0,172483.0,Roadside,26.1,17.65,-32.37547892720307
155,357838.0,172713.0,Roadside,24.2,16.35,-32.43801652892561
156,357709.0,173018.0,Roadside,25.9,18.4,-28.95752895752896
157,359119.0,174090.0,Roadside,35.0,34.45,-1.5714285714285632
159,358891.0,174608.0,Roadside,32.1,28.549999999999997,-11.05919003115266
161,359152.0,175733.0,Roadside,26.0,26.05,0.19230769230769504
163,359435.0,176574.0,Roadside,27.2,26.45,-2.7573529411764706
175,362147.0,170525.0,Roadside,38.7,30.35,-21.57622739018088
239,357880.0,170506.0,Kerbside,48.6,39.3,-19.13580246913581
242,357510.0,170401.0,Kerbside,36.6,28.9,-21.038251366120225
254,357118.0,172429.0,Kerbside,33.0,24.299999999999997,-26.363636363636374
260,361140.0,175366.0,Roadside,31.6,26.25,-16.93037974683545
261,361103.0,175059.0,Roadside,39.3,32.5,-17.30279898218829
295,359913.0,174315.0,Roadside,41.0,34.4,-16.09756097560976
300,363365.0,175883.0,Roadside,27.5,23.799999999999997,-13.454545454545466
303,361368.0,175170.0,Roadside,31.2,23.700000000000003,-24.03846153846153
307,360747.0,175328.0,Roadside,26.8,23.05,-13.992537313432834
312,359832.0,174616.0,Roadside,29.8,24.15,-18.959731543624166
325,361667.0,175103.0,Roadside,32.6,28.5,-12.576687116564422
363,359075.0,173613.0,Roadside,28.0,23.85,-14.821428571428566
370,359775.0,173513.0,Roadside,31.0,23.25,-25.0
373,359747.0,173774.0,Roadside,27.4,21.9,-20.072992700729927
374,359509.0,173595.0,Roadside,33.7,26.1,-22.55192878338279
403,360508.0,171676.0,Roadside,25.5,20.4,-20.000000000000007
405,361051.0,173743.0,Roadside,38.0,33.55,-11.710526315789481
406,361576.0,173806.0,Roadside,29.6,23.7,-19.93243243243244
413,360043.0,171508.0,Roadside,27.2,23.0,-15.441176470588234
417,359635.0,171413.0,Roadside,27.0,21.799999999999997,-19.25925925925927
418,357737.0,170642.0,Roadside,44.1,32.25,-26.87074829931973
419,357832.0,170686.0,Kerbside,33.6,28.95,-13.83928571428572
420,358277.0,171562.0,Roadside,28.8,23.0,-20.13888888888889
423,358623.0,173386.0,Roadside,29.1,21.549999999999997,-25.9450171821306
429,360484.0,174097.0,Roadside,35.5,36.65,3.2394366197183055
436,361013.0,173352.0,Roadside,30.6,25.299999999999997,-17.32026143790851
"438_1,438_2,438_3",360903.0,170024.0,Kerbside,29.4,24.1,-18.027210884353735
"439_1,439_2,439_3",358042.0,170582.0,Roadside,27.2,23.2,-14.705882352941178
"464_1,464_2,464_3",362927.0,175592.0,Roadside,24.0,20.8,-13.33333333333333
470,359213.0,170997.0,Roadside,28.3,22.95,-18.904593639575975
472,358226.0,171284.0,Roadside,29.0,25.75,-11.206896551724139
